claim_id,claim_text,classification,source,url,verified
C14,Pakistan's tax-to-GDP ratio was 10.5% in 2023 versus an Asia-Pacific regional average of 19.5%,VERIFIED,"OECD Revenue Statistics in Asia and the Pacific 2025: Pakistan country note",https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/06/revenue-statistics-in-asia-and-the-pacific-2025-country-notes_0a069779/pakistan_f7330e74/e3565533-en.pdf,yes
C15,Taxes on income profits and capital gains were the largest category of Pakistan's tax revenue in 2023 at 40.7% of total tax revenue,VERIFIED,"OECD Revenue Statistics in Asia and the Pacific 2025: Pakistan country note",https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/06/revenue-statistics-in-asia-and-the-pacific-2025-country-notes_0a069779/pakistan_f7330e74/e3565533-en.pdf,yes
C16,IMF EFF program targets general government revenue of 12.3% of GDP and FBR collections of 10.6% of GDP for FY2024-25,VERIFIED,"IMF Country Report No. 25/109 (2025)",https://www.imf.org/en/-/media/files/publications/cr/2025/english/1pakea2025001-print-pdf.pdf,yes
C17,IMF projects general government revenue reaching 15.2% of GDP in FY2025-26,REPORTED,"IMF Country Report No. 25/109 (2025) via full-text extraction -- downgraded from VERIFIED and flagged VERIFY for plausibility (large one-year jump from 12.3%); re-check against the report's own data tables before use",https://www.imf.org/en/-/media/files/publications/cr/2025/english/1pakea2025001-print-pdf.pdf,no
C18,Provinces amended agricultural income tax regimes to align with federal rates with implementation from January 2025 and collection from September 2025,VERIFIED,"IMF Country Report No. 25/109 (2025)",https://www.imf.org/en/-/media/files/publications/cr/2025/english/1pakea2025001-print-pdf.pdf,yes
C19,Original AIT legislative deadline of end-October 2024 was missed and legislation was subsequently passed by February 2025,VERIFIED,"IMF Country Report No. 25/109 (2025); corroborated by Express Tribune and The Print reporting",https://www.imf.org/en/-/media/files/publications/cr/2025/english/1pakea2025001-print-pdf.pdf,yes
C20,Punjab passed its Agricultural Income Tax Bill first in November 2024; KP on 27 January 2025; Balochistan on 3 February 2025; Sindh on 4 February 2025,VERIFIED,"IMF Country Report No. 25/109 (2025) plus Express Tribune / The Print reporting",https://www.imf.org/en/-/media/files/publications/cr/2025/english/1pakea2025001-print-pdf.pdf,yes
C21,Under the 2023 Stand-By Arrangement FBR registered 1.1 million new filers of which 170999 new returns came through enforcement measures,VERIFIED,"IMF Country Report No. 24/002 (2024)",https://www.imf.org/-/media/files/publications/cr/2024/english/1pakea2024002.pdf,yes
C22,FBR revenue was projected at 8.8-8.9% of GDP for FY2025-29 in the 2024 SBA review before being superseded by higher EFF targets,VERIFIED,"IMF Country Report No. 24/002 (2024)",https://www.imf.org/-/media/files/publications/cr/2024/english/1pakea2024002.pdf,yes
C23,Under the 7th NFC Award 2010 provinces receive 57.5% of the federal divisible pool (56% in 2010-11) and the federal government retains 42.5%,VERIFIED,"7th National Finance Commission Award 2010",https://www.finance.gkp.pk/attachments/2da9abc0b38511e9b3c853d7f6bb97a7/download,yes
C24,The horizontal NFC distribution formula weights population 82% poverty/backwardness 10.3% revenue collection 5% and inverse population density 2.7%,VERIFIED,"7th National Finance Commission Award 2010",https://www.finance.gkp.pk/attachments/2da9abc0b38511e9b3c853d7f6bb97a7/download,yes
C25,Provincial shares of the NFC divisible pool are Punjab 51.74% Sindh 24.55% Khyber Pakhtunkhwa 14.62% and Balochistan 9.09%,VERIFIED,"7th National Finance Commission Award 2010",https://www.finance.gkp.pk/attachments/2da9abc0b38511e9b3c853d7f6bb97a7/download,yes
C26,FBR's collection charge on the divisible pool was cut from 5% to 1% under the 7th NFC Award enlarging the distributable pool,VERIFIED,"7th National Finance Commission Award 2010",https://www.finance.gkp.pk/attachments/2da9abc0b38511e9b3c853d7f6bb97a7/download,yes
C27,1% of the net divisible pool was earmarked for Khyber Pakhtunkhwa as a frontline province in the war on terror,VERIFIED,"7th National Finance Commission Award 2010",https://www.finance.gkp.pk/attachments/2da9abc0b38511e9b3c853d7f6bb97a7/download,yes
C28,No NFC award has superseded the 7th NFC Award since 2010 and its formula remains current in 2026; the 8th NFC (constituted 2010) produced no award and the 9th NFC was constituted in April 2015,VERIFIED,"Dawn / PIDE / SDPI / Wikipedia National Finance Commission Award entry for historical sequence; current-in-2026 status confirmed by production team 2026-08-28",https://en.wikipedia.org/wiki/National_Finance_Commission_Award,yes
C29,The 18th Amendment (2010) devolved capital gains tax estate duty capital value tax and wealth tax on immovable property to the provinces and gave provinces authority to legislate and self-collect sales tax on services,REPORTED,"Business Recorder and Dawn reporting on 18th Amendment fiscal federalism provisions",https://www.brecorder.com/news/40372091,partial
C30,FBR retained income tax on non-agricultural income sales tax on goods customs duty and federal excise duty after the 18th Amendment,REPORTED,"Business Recorder and Dawn reporting on 18th Amendment fiscal federalism provisions",https://www.brecorder.com/news/40372091,partial
C31,Balochistan Revenue Authority's Sales Tax on Services regime took effect 1 July 2015 at a general rate of 15% (19.5% for telecom),REPORTED,"TaxationPk / Graana.com summaries of BRA statute",https://taxationpk.com/balochistan-revenue-authority/,partial
C32,Punjab and KP tax services on a destination basis while Sindh taxes on an origin basis creating double-taxation disputes and litigation,REPORTED,"Dawn -- Sales tax on services: dispute between provinces",https://www.dawn.com/news/1099651,partial
C33,Sindh Revenue Board collected Sindh Sales Tax of Rs 284.38 billion plus Rs 22.253 billion SWWF/SWPPF in FY2024-25 against a Rs 350 billion target,REPORTED,"Profit by Pakistan Today / Business Recorder / pkrevenue.com reporting on SRB figures",https://profit.pakistantoday.com.pk/2026/07/02/sindh-revenue-board-collects-rs370-billion-in-taxes-in-fy26,partial
C34,Punjab Revenue Authority collected Rs 270 billion in FY2024-25 rising to Rs 368 billion in FY2025-26,REPORTED,"Associated Press of Pakistan / Profit by Pakistan Today reporting on PRA figures",https://www.app.com.pk/business/pra-sets-historic-record-with-rs-368b-tax-collection/,partial
C35,KP Revenue Authority collected Rs 51.56 billion total in FY2024-25 (Rs 40.3bn sales tax on services plus Rs 11.26bn Infrastructure Development Cess) against a Rs 47 billion target,REPORTED,"Profit by Pakistan Today reporting corroborated by KPRA's own press release",https://profit.pakistantoday.com.pk/2025/07/02/kp-revenue-authority-exceeds-tax-target-by-rs-4-56-billion-collects-rs-51-56-billion-for-fy-2024-25/,yes
C36,Balochistan Revenue Authority's FY2024-25 collection figure could not be located in this research pass,UNRESOLVED,"No source found",,no
C37,Combined confirmed provincial services-tax collection (Sindh+Punjab+KP) for FY2024-25 was roughly Rs 630 billion versus FBR's own federal sales-tax-on-goods collection of Rs 3901.4 billion,ESTIMATE,"Author's own summation of C33+C34(FY24-25 portion)+C35 versus C05, method shown in brief",,partial
C38,The filer/non-filer distinction with differentiated withholding rates was introduced by the Finance Act 2014,REPORTED,"Business Recorder -- Distinction between filers and non-filers",https://www.brecorder.com/news/4208456,partial
C39,Tax Laws (Amendment) Act 2024 / Finance Act 2025 Section 114C defines eligible and ineligible persons and restricts banking property vehicle and securities transactions for ineligible (non-filer) persons,REPORTED,"Business Recorder / PropPakistani / Express Tribune / 24NewsHD coverage of Tax Laws Amendment Bill 2024",https://www.brecorder.com/news/40338789/tax-laws-amendment-bill-2024-comments,partial
C40,Section 114C implementation was deferred by the National Assembly Standing Committee on Finance in early 2025 pending FBR system readiness before being folded into the FY2025-26 Finance Bill,REPORTED,"Business Recorder -- Tax laws bill: NA panel defers Sec 114C until FBR system overhaul",https://www.brecorder.com/news/40347574/tax-laws-bill-na-panel-defers-sec-114c-until-fbr-system-overhaul,partial
C41,Extent of actual 2026 enforcement of Section 114C non-filer restrictions at scale is unconfirmed by a primary FBR enforcement statistic,UNRESOLVED,"Conflicting secondary reporting -- some describe continued deferral, others describe active 2026 enforcement",,no
C42,Stated government rationale for filer/non-filer restrictions is to broaden the tax base increase documentation and discourage staying outside the formal tax net,REPORTED,"PropPakistani and other press coverage quoting government officials",https://propakistani.pk/2025/04/29/govt-to-restrict-non-filer-transactions-in-finance-bill-fy2026/,partial
C43,Real estate market transaction prices commonly run 5-10x DC valuation rates and 2-4x FBR notified valuation rates,ESTIMATE,"Real estate industry sources (icons.com.pk, chakorventures.com, malikjunaid.com) -- not a primary/academic source, low reliability tier",https://malikjunaid.com/dc-value-of-property-in-pakistan/,no
C44,FBR was authorized to notify property valuation tables for major cities starting 2016 with revisions in 2019 2022 and further SRO rounds 2024-2026,REPORTED,"Real estate industry sources summarizing FBR SRO history",https://manahilestate.com/fbr-property-valuation-rates-different-cities-pakistan/,partial
C45,Pakistan's informal economy is estimated at somewhere between 35% and 59% of GDP depending on methodology and source,ESTIMATE,"World Bank ($457bn / 35.6% GDP-PPP, 2022); Ministry of Finance (>40%); ILO (35-40%); one monetary-approach academic study (44.14% in 2022); one PES-linked figure (~59% FY2024-25) -- wide disagreement, no single primary source opened directly",,no
C46,Pakistan's population reached 241.49 million in the 2023 Digital Census,REPORTED,"Pakistan Bureau of Statistics 2023 census, reported via Geo News / BOL News / Islamabad Scene",https://www.geo.tv/latest/503433-digital-census-pakistans-population-surges-to-24141-million,partial
C47,Active Taxpayer List filer counts for recent years are inconsistently reported across sources: approx 2.5m (2021 of 7.1m registered) 5.73m (2022) 3.35m (2023) 4.5-6m (2024) and 7.2-8.5m (2025),ESTIMATE,"TaxationPk / Arab News / various tax-advisory sites -- conflicting figures for same nominal years, likely different ATL snapshot dates",,no
C48,IMF estimates Pakistan's tax capacity at approximately 12.9% of GDP against actual collection hovering around 10%,REPORTED,"Search-synthesized attribution to IMF -- specific IMF paper not directly opened in this research pass",,no
C49,Sindh Revenue Board (SRB) was founded in 2010,REPORTED,"Confirmed by production team 2026-08-28 -- no primary founding-legislation document opened in this pass",,partial
C50,Punjab Revenue Authority (PRA) was founded in 2012,REPORTED,"Confirmed by production team 2026-08-28 -- no primary founding-legislation document opened in this pass",,partial
C51,Khyber Pakhtunkhwa Revenue Authority (KPRA) was founded in 2013,REPORTED,"Confirmed by production team 2026-08-28 -- no primary founding-legislation document opened in this pass",,partial
