claim_id,claim_text,classification,source_institution,url,data_period,verified,notes
C-11,"Pakistan Railways handled 73% of national freight traffic at peak (1950s-1960s)",REPORTED,PIDE / academic literature / multiple,Multiple,1950s-1960s,No,"This is a MODAL SHARE figure not a tonnage figure. The tentative thesis incorrectly states 73 million tonnes — this is the correction."
C-12,"Pakistan Railways modal share fell to less than 4% by 2011",REPORTED,PIDE / academic literature / World Bank,Multiple,2011,No,"Consistent across multiple sources."
C-13,"Road transport handles 94-96% of Pakistan's freight by volume today",REPORTED,World Bank / UNCTAD / PBC,Multiple,2020-2023,No,"Multiple sources give 92-96% range. Use 94-96% with caveat."
C-14,"Pakistan has 300,649 registered trucks",REPORTED,Pakistan Business Council (PBC) research,https://www.pbc.org.pk/research/pakistan-road-logistic-sector/,Circa 2015-2020,No,"[VERIFY date of PBC report. Figure may be outdated.]"
C-15,"Road trucks carry approximately 206,404 million tonne-km of goods per year in Pakistan",REPORTED,UNCTAD / PBC / invest.gov.pk,Multiple,Circa 2018-2022,No,"[VERIFY primary source and year.]"
C-16,"Pakistan's logistics sector contributes over 10.5% to GDP",REPORTED,PBC / UNCTAD / government,Multiple,Circa 2018-2022,No,"[VERIFY — figure includes all logistics, not just road freight.]"
C-17,"Pakistan's logistics sector employs 5.4% of the workforce",REPORTED,PBC / UNCTAD,Multiple,Circa 2018-2022,No,"[VERIFY year and definition of logistics employment.]"
C-18,"Most Pakistan trucking firms are in the informal sector with fewer than 10 vehicles",REPORTED,PBC / UNCTAD transport assessment,Multiple,Circa 2018-2022,No,"Structural characteristic of road freight sector consistent across multiple reports."
C-19,"National Logistics Corporation (NLC) was created in 1977-78 following the wheat crisis because Pakistan Railways could not transport wheat from Karachi inland",REPORTED,NLC official history / academic sources,https://en.wikipedia.org/wiki/National_Logistics_Corporation,1977-1978,No,"Historical founding fact consistent across multiple sources."
C-20,"NLC transported approximately 50% of Pakistan's domestic crude oil (about 76,000 barrels/day) as of 2011",REPORTED,NLC / Wikipedia / search results,https://en.wikipedia.org/wiki/National_Logistics_Corporation,2011,No,"[VERIFY against NLC annual reports. Wikipedia is not primary source.]"
C-21,"NLC's share of dry and liquid cargo freight is approximately three times that of Pakistan Railways",REPORTED,NLC / Pakistan business journalism,Multiple,Unclear,No,"[VERIFY — year and methodology of this comparison not confirmed.]"
C-22,"Pakistan Railways commodity mix FY2024-25: petroleum, containers, coal, rock phosphate, fertilizer, wheat, sugar, oilseeds, PTA, transit goods for Afghanistan",REPORTED,Pakistan Railways / APP press release,https://www.app.com.pk/national/railways-transports-8-2-mln-tonnes-of-freight-in-fiscal-year-2024-25/,FY2024-25,No,"Commodity list reported; no tonnage breakdown per commodity available from this source."
C-23,"Petroleum oil traffic shifted to pipelines in the 1990s causing a significant decline in Pakistan Railways freight revenue",REPORTED,PIDE / academic literature,https://pide.org.pk/research/pakistan-railways-why-not-on-rails/,1990s,No,"Key causal claim for freight decline; source site blocked by proxy. [VERIFY against primary source.]"
C-24,"Pakistan Railways experienced a freight collapse in 2000 due to severe fuel shortage for locomotives",REPORTED,PIDE / academic literature,https://pide.org.pk/research/pakistan-railways-why-not-on-rails/,2000,No,"Operational failure during transition period. [VERIFY.]"
C-25,"NHA PSDP allocation FY2026-27: Rs 224.51 billion; Railways Division: Rs 40.65 billion",REPORTED,Budget FY2026-27 / press reports,Multiple,FY2026-27,No,"[VERIFY against Planning Commission PSDP document. Ratio: NHA gets ~5.5x more than Railways.]"
C-26,"NHA PSDP allocation FY2025-26: Rs 223.28 billion",REPORTED,Profit by Pakistan Today / PSDP documents,https://profit.pakistantoday.com.pk/2026/03/03/nha-uses-56-of-rs223-billion-psdp-funds-in-first-half-of-fy26/,FY2025-26,No,"Confirmed by multiple news sources."
C-27,"NHA PSDP allocation FY2022-23: Rs 111.25 billion",REPORTED,APP / Planning Commission,https://www.app.com.pk/budget/federal-budget-2023-24/rs-99-billion-out-of-rs-111-25-bn-allocated-for-nha-schemes-in-psdp-2022-23-spent-so-far/,FY2022-23,No,"Rs 99 billion of this was spent."
C-28,"Railways projects received Rs 28-40 billion in PSDP in recent years (FY2021-22 to FY2024-25)",REPORTED,Press reports citing PSDP documents,Multiple,FY2021-FY2025,No,"[VERIFY precise year-by-year figures from PSDP Blue Books.]"
C-29,"Historical highway expenditure 1995-2000: Rs 118 billion total on national and provincial highways",REPORTED,World Bank / UNESCAP transport documents,https://www.unescap.org/sites/default/files/Bulletin75_ch5.pdf,1995-2000,No,"[VERIFY — proxy blocked direct access to UNESCAP source.]"
C-30,"Pakistan Railways total revenue FY2023-24: Rs 88.792 billion",REPORTED,Pakistan Railways / multiple news outlets,Multiple,FY2023-24,No,"Consistent across sources."
C-31,"Pakistan Railways freight revenue FY2023-24: Rs 28 billion (31.8% of total revenue)",REPORTED,Pakistan Railways / multiple news outlets,Multiple,FY2023-24,No,"Revenue composition breakdown confirmed by multiple sources."
C-32,"Pakistan Railways passenger revenue FY2023-24: Rs 47 billion (53.4% of total)",REPORTED,Pakistan Railways / multiple news outlets,Multiple,FY2023-24,No,"Passenger revenue dominant over freight."
C-33,"Pakistan Railways freight revenue FY2022-23: Rs 18 billion",REPORTED,Pakistan Railways / multiple news outlets,Multiple,FY2022-23,No,"Freight revenue jumped from Rs 18bn to Rs 28bn year-on-year."
C-34,"Pakistan Railways total revenue FY2022-23: Rs 63.718 billion; expenses Rs 72.178 billion; net loss Rs 8.46 billion",REPORTED,Pakistan Railways / media,Multiple,FY2022-23,No,"Consistent across sources."
C-35,"Pakistan Railways operating cost structure (approx): salary 33%; pension 35%; fuel (HSD) ~21%; salary + pension + fuel = ~89% of total expenses",REPORTED,Budget analysis / media / government data,Multiple,FY2022-23 or FY2023-24,No,"[VERIFY — must tie to specific fiscal year.]"
C-36,"Federal government allocated Rs 55 billion grant to Pakistan Railways primarily for pensions in FY2023-24",REPORTED,Media / government budget,Multiple,FY2023-24,No,"[VERIFY against Finance Division budget documents.]"
C-37,"Pakistan Railways employed 58,680 people as of 2023-24",REPORTED,Media / reform reporting,Multiple,2023-24,No,"[VERIFY — 20,000 terminated January 2025 brings it lower.]"
C-38,"Pakistan Railways terminated approximately 20,000 employees in January 2025 under IMF-linked reform programme",REPORTED,Multiple media outlets,Multiple,January 2025,No,"Workforce reduction as part of fiscal adjustment."
C-39,"Pakistan Railways accumulated losses of Rs 144 billion over 2015-2020",REPORTED,PIDE / media / government references,Multiple,2015-2020,No,"[VERIFY primary source — likely AGP audit or MoF budget documents.]"
C-40,"Pakistan Railways operating ratio: approximately 98% in FY2023-24",REPORTED,APP / media,https://www.app.com.pk/national/railways-achieve-improved-operation-ratio-with-98-trains-running-daily/,FY2023-24,No,"Operating ratio = working expenses / gross revenue. 98% means near breakeven on operations."
C-41,"Pakistan's logistics costs are estimated at 35% above the South Asian regional average",REPORTED,World Bank / FPCCI policy brief,Multiple (Business Recorder summary),Circa 2022-2024,No,"[VERIFY — attributed to World Bank but primary document not confirmed. FPCCI policy brief (2025) likely primary source.]"
C-42,"Transport sector inefficiencies cost Pakistan 4-5% of GDP",REPORTED,Pakistan Infrastructure Implementation Capacity Assessment,Multiple,Circa 2020-2024,No,"[VERIFY primary source name and year.]"
C-43,"Logistics bottlenecks increase production costs in Pakistan by approximately 30%",REPORTED,Government / World Bank attributed,Multiple,Circa 2020-2024,No,"[VERIFY primary source.]"
C-44,"Pakistan's World Bank LPI rank fell from 68 (2016) to 122 (2018)",VERIFIED,World Bank Logistics Performance Index,https://lpi.worldbank.org,2016 and 2018,Yes,"Publicly published World Bank index. Pakistan excluded from 2023 LPI."
C-45,"Pakistan was excluded from the World Bank 2023 LPI due to inadequate data",REPORTED,Multiple business news sources,Multiple,2023,No,"[VERIFY directly with World Bank LPI 2023 report methodology notes.]"
C-46,"Annual road accident cost in Pakistan: approximately USD 12 billion in 2021 (about 3% of GDP)",REPORTED,Asian Transport Observatory / WHO / Tribune research,https://asiantransportobservatory.org/analytical-outputs/roadsafetyprofiles/pakistan-road-safety-profile-2025/,2021,No,"[VERIFY primary study. Ministry of Communication 2018 estimate was USD 9 billion.]"
C-47,"WHO estimates more than 27,000 people die on Pakistan's roads each year",REPORTED,WHO,Multiple,Circa 2020-2023,No,"WHO global road safety estimates include Pakistan. Treat as WHO estimate, not official Pakistan statistics."
C-48,"ML-1 upgrade project cost: approximately USD 6.8 billion",REPORTED,Ministry of Railways / International Railway Journal,https://www.railjournal.com/regions/asia/pakistan-approves-us-6-8bn-peshawar-lahore-karachi-line-upgrade/,2022 approval,No,"[VERIFY — ADB phasing may have changed total or structure.]"
C-49,"ML-1 will increase line capacity from 34 to 171 trains per direction per day",REPORTED,ML-1 project documents / media,Multiple,2025,No,"[VERIFY against Ministry of Railways ML-1 project documentation.]"
C-50,"ML-1 upgrade will allow freight speeds of 120 km/h (vs current maximum 110 km/h) and passenger speeds of 165 km/h",REPORTED,Media / Ministry of Railways,Multiple,2025,No,"[VERIFY.]"
C-51,"ML-1 economic viability study projects freight cost reduction of approximately 30%",ESTIMATE,Ministry of Railways economic viability study (attributed),https://www.railways.gov.pk/PublicationDetail/ZDI3MjJmODUtZGFhNi00MDRhLWI2MzgtZmE0Y2RiZWQ3Zjg0,2023-2025,No,"[VERIFY primary viability study document. Treat as estimate until confirmed.]"
C-52,"ML-1 economic viability study projects a payback period of 10 years",ESTIMATE,Ministry of Railways economic viability study (attributed),Multiple,2023-2025,No,"[VERIFY primary document.]"
C-53,"ML-1 project commenced implementation July 2026",REPORTED,Media reports,https://www.drivepk.com/blog/pakistan-s-ml-i-railway-project-starts-in-july-2026-boosting-freight-from-karachi-to-peshawar,July 2026,No,"[VERIFY current status — implementation may be delayed or phased.]"
C-54,"Rail freight globally is approximately 3x more energy efficient per tonne-km than road",REPORTED,ICCT / DHL Freight global data,Multiple,2020-2025,No,"Global benchmark. Cannot be applied directly as Pakistan figure without Pakistan-specific study."
C-55,"Pakistan-specific rail vs road cost-per-tonne-km comparison",UNRESOLVED,Not found,N/A,N/A,No,"[VERIFY — consult World Bank 2007 Transport Competitiveness in Pakistan and Pakistan Railways published freight tariff schedule. This claim is essential for script credibility.]"
C-56,"Pakistan Railways' operational locomotive fleet shrank from 528 (2011) to 449 (2025)",REPORTED,ADB / World Bank overview summary,Multiple,2011 and 2025,No,"[VERIFY against Ministry of Railways or ADB fleet data.]"
C-57,"Pakistan Railways freight decline was caused by: underinvestment in rolling stock and track; political staffing over efficiency; rise of NLC as state-backed road competitor; petroleum pipeline expansion in 1990s; locomotive fuel crisis in 2000",ANALYSIS,Multiple sources (PIDE; Li et al. 2018; search results),Multiple,1970s-2000s,No,"Analytical synthesis. Each sub-claim should be individually cited in the script."
