source_id,title,institution,pub_date,url,tier,notes
S-12,Rs 99 billion out of Rs 111.25 bn allocated for NHA schemes in PSDP 2022-23 spent,APP,2023,https://www.app.com.pk/budget/federal-budget-2023-24/rs-99-billion-out-of-rs-111-25-bn-allocated-for-nha-schemes-in-psdp-2022-23-spent-so-far/,5,"NHA PSDP FY2022-23: Rs 111.25bn allocated; Rs 99bn spent."
S-13,Trend Analysis of Pakistan Railways Based on Industry Life Cycle Theory,Li et al. — Journal of Advanced Transportation (Wiley / Hindawi),2018,https://onlinelibrary.wiley.com/doi/10.1155/2018/2670346,4,"Peer-reviewed academic. Key source for historical freight decline analysis. Direct fetch blocked by proxy."
S-14,A History of Pakistan Railways From Pre-Partition Times till Now: A Historical Review with Key Evolutionary Milestones,PIDE (Pakistan Institute of Development Economics),Unknown (PIDE working paper),https://pide.org.pk/research/a-history-of-pakistan-railways-from-pre-partition-times-till-now-a-historical-review-with-key-evolutionary-milestones/,3,"PIDE is a credible government-linked research institution. Full text at file.pide.org.pk — proxy blocked."
S-15,Pakistan Railways — Why not on Rails?,PIDE,Unknown,https://pide.org.pk/research/pakistan-railways-why-not-on-rails/,3,"PIDE analysis of freight decline causes. Direct access blocked."
S-16,Nudging Pakistan Railways (Knowledge Brief No. 71:2022),PIDE,2022,https://pide.org.pk/research/nudging-pakistan-railways/,3,"Covers staffing, efficiency issues. Access blocked."
S-17,Pakistan Road Logistic Sector,Pakistan Business Council (PBC),Circa 2018-2020,https://www.pbc.org.pk/research/pakistan-road-logistic-sector/,3,"Key source for trucking fleet size (300,649 trucks), modal share, sector structure. Date of report not confirmed. Access blocked."
S-18,Transforming Transport in Pakistan,UNCTAD,2021,https://unctad.org/system/files/information-document/unda2030d03-pakistan-transport_en.pdf,4,"UNCTAD policy document. Logistics sector data including 206,404 million tonne-km road freight. Access blocked."
S-19,11th Five Year Plan — Chapter 27: Transport and Logistics,Planning Commission of Pakistan,2024,https://pc.gov.pk/uploads/plans/Ch27-Transport-logistics2.pdf,1,"Government planning document. Access blocked. Should contain NHA vs Railways investment targets."
S-20,Greening Growth in Pakistan through Transport Sector Reforms,World Bank,2015,https://documents1.worldbank.org/curated/en/890811468286773002/pdf/Greening-growth-in-Pakistan-through-transport-sector-reforms-strategic-environmental-poverty-and-social-assessment.pdf,4,"WB analysis of Pakistan transport. Access blocked."
S-21,Pakistan — Transport Competitiveness: Analytical Underpinning for National Trade Corridor Improvement Program,World Bank,2007,https://documents.worldbank.org/curated/en/961511468289228268/Pakistan-Transport-competitiveness-in-Pakistan-analytical-underpinning-for-National-Trade-Corridor-Improvement-Program,4,"Key WB report on Pakistan logistics costs. Must access for cost-per-tonne-km data. Access blocked."
S-22,World Bank Logistics Performance Index 2016 and 2018,World Bank,2016 and 2018,https://lpi.worldbank.org,4,"VERIFIED — Pakistan rank 68 in 2016; rank 122 in 2018. Public database."
S-23,ADB investment puts Pakistan Railways back on track,The Express Tribune,2023,https://tribune.com.pk/story/2564376/adb-investment-puts-pakistan-railways-back-on-track,5,"ADB freight corridor and ML-1 proposal details. Direct fetch blocked."
S-24,National Logistics Corporation — Wikipedia,Wikipedia / multiple underlying sources,N/A,https://en.wikipedia.org/wiki/National_Logistics_Corporation,6,"Not a primary source. Used for NLC history leads. Cross-check founding date and oil transport role against primary NLC sources."
S-25,Pakistan Railways — Wikipedia,Wikipedia / multiple underlying sources,N/A,https://en.wikipedia.org/wiki/Pakistan_Railways,6,"Not a primary source. Used for general context and leads only."
S-26,Pakistan approves USD 6.8bn Peshawar–Lahore–Karachi line upgrade,International Railway Journal,2022,https://www.railjournal.com/regions/asia/pakistan-approves-us-6-8bn-peshawar-lahore-karachi-line-upgrade/,5,"Specialist railway trade publication. ML-1 cost and scope confirmed."
S-27,Is ML-1 a luxury or an essential requirement?,Ministry of Railways (Pakistan),2023,https://www.railways.gov.pk/PublicationDetail/ZDI3MjJmODUtZGFhNi00MDRhLWI2MzgtZmE0Y2RiZWQ3Zjg0,1,"Ministry of Railways own publication. Direct access blocked. Contains economic viability arguments."
S-28,Pakistan ML-1 Railway Project Starts in July 2026,DrivePK / media,2026,https://www.drivepk.com/blog/pakistan-s-ml-i-railway-project-starts-in-july-2026-boosting-freight-from-karachi-to-peshawar,5,"Reports July 2026 project commencement. Needs verification of current implementation status."
S-29,Pakistan Road Safety Profile 2025,Asian Transport Observatory,2025,https://asiantransportobservatory.org/analytical-outputs/roadsafetyprofiles/pakistan-road-safety-profile-2025/,4,"Road accident cost data. Access blocked. USD 12bn annual cost (2021) figure attributed here."
S-30,Road accidents: a massive economic challenge,The Express Tribune,2023,https://tribune.com.pk/story/2602442/road-accidents-a-massive-economic-challenge,5,"Tribune report citing accident cost data. Access blocked."
S-31,Pakistan must put rail before roads,The Express Tribune,2023,https://tribune.com.pk/story/2587890/pakistan-must-put-rail-before-roads,5,"Op-ed/analysis on NHA vs Railways investment imbalance. Access blocked."
S-32,Railways and the NLC,The Express Tribune,2013,https://tribune.com.pk/story/776565/railways-and-the-nlc,5,"Historical analysis of NLC vs Pakistan Railways competition. Access blocked."
S-33,Pakistan Railways Freight Division Karachi Exceeds Targets — Record Revenue August 2024,The AZB / Pakistan Railways press,2024,https://theazb.com/pakistan-railways-freight-division-karachi-exceeds-targets-delivering-record-revenue-in-august-2024/,5,"Freight division performance data. Access blocked."
S-34,Pakistan Railways' operating profit close to Rs1bn,Geo TV,2025,https://www.geo.tv/latest/601404-pakistan-railways-operating-profit-close-to-rs1bn,5,"Recent profitability data. Access blocked."
S-35,Trade logistics structural bottleneck in Pakistan,Business Recorder,2023,https://www.brecorder.com/news/amp/40385681,5,"Logistics cost premium over South Asian average. Access blocked."
S-36,Pakistan road freight industry: An overview,ResearchGate / academic,Circa 2010-2015,https://www.researchgate.net/publication/237665387_Pakistan_road_freight_industry_An_overview,4,"Academic overview of road freight sector structure. Access blocked."
S-37,Sector Profile: Logistics,Board of Investment / invest.gov.pk,Circa 2020-2022,https://invest.gov.pk/sites/default/files/inline-files/Logistics.pdf,1,"Government-produced logistics sector profile. Contains fleet size and GDP contribution data. Access blocked."
S-38,Policy Brief on Pakistan's Logistics Performance and Its Impact on Trade Competitiveness,FPCCI (Federation of Pakistan Chambers of Commerce and Industry),2025,https://fpcci.org.pk/wp-content/uploads/2025/10/A-Policy-Brief-on-Pakistans-Logistics-Performance-and-Its-Impact-on-Trade-Competitiveness.pdf,3,"Key 2025 policy brief. Likely source for 35% logistics cost premium claim. Access blocked."
S-39,Audit Report on the Accounts of Pakistan Railways 2021-22,Auditor General of Pakistan,2022,https://agp.gov.pk/SiteImage/Policy/Audit%20Report%20on%20the%20Accounts%20of%20Pakistan%20Railways%202021-22.pdf,1,"Primary audit document. Should contain operating cost breakdown. Access blocked. Must access before scripting."
S-40,Pakistan Railways Yearbook (latest available),Ministry of Railways / Pakistan Railways,Annual,https://www.pakrail.gov.pk/,1,"Official yearbook. Primary source for all freight statistics, cost breakdown, fleet data. Access blocked. Must access before scripting."
S-41,Pakistan Economic Survey Chapter 13 — Transport and Communications,Ministry of Finance,Annual,https://www.finance.gov.pk/survey/chapters_13/13-Transport%20final.pdf,1,"Annual government survey chapter on transport. Contains NHA and Railways budget figures. Access blocked. Must access before scripting."
S-42,Financing of National Highway Authority,Ishrat Husain / IBA,Unknown,https://ishrathusain.iba.edu.pk/pdf/financing-of-national-highway-authority.pdf,3,"Analysis of NHA financing structure. Access blocked."
S-43,Underfunded and Off-Track: The Systematic Neglect of Pakistan's Railways,The Friday Times,August 2026,https://www.thefridaytimes.com/02-Aug-2026/underfunded-off-track-systematic-neglect-pakistan-s-railways,5,"Recent investigative journalism piece on NHA vs Railways investment comparison. Access blocked. May contain decade-by-decade figures."
S-44,Pakistan Railways: Key Facts (ADB linked document),ADB,Circa 2015-2020,https://www.adb.org/sites/default/files/linked-documents/48065-002-sd-03.pdf,4,"ADB fact sheet on Pakistan Railways. Contains rolling stock and freight data. Access blocked."
S-45,National Motorway M-4 Gojra-Shorkot Section Project (SSA),ADB,2015,https://www.adb.org/sites/default/files/linked-documents/48402-001-ssa.pdf,4,"ADB project document. Contains road transport modal share data. Access blocked."
S-46,Pakistan Railways in loss despite record revenues,Dawn,2025,https://www.dawn.com/news/2013501/railways-in-loss-despite-record-revenues,5,"Financial performance data. Access blocked."
S-47,Digital Logistics Capacity Assessment — 2.4 Pakistan Railway Assessment,LogCluster,Circa 2020-2023,https://lca.logcluster.org/24-pakistan-railway-assessment,4,"Logistics cluster humanitarian-oriented assessment. Contains freight commodity and capacity data. Access blocked."
S-48,Pakistan Railways Turns Profit After Years of Losses,ProPakistani,August 2025,https://propakistani.pk/2025/08/13/pakistan-railways-turns-profit-after-years-of-losses/,5,"Recent profitability reporting. Access blocked."
